Date,"Closing Value"
1953-01-26,286.5400
1953-01-27,286.8100
1953-01-28,287.3900
1953-01-29,287.9600
1953-01-30,289.7700
1953-02-02,290.0300
1953-02-03,290.1900
1953-02-04,289.0800
1953-02-05,286.2000
1953-02-06,282.8500
1953-02-09,281.9600
1953-02-10,281.6700
1953-02-11,281.5700
1953-02-13,283.1100
1953-02-16,282.1800
1953-02-17,281.5100
1953-02-18,281.1400
1953-02-19,281.5500
1953-02-20,281.8900
1953-02-24,282.9900
1953-02-25,284.4500
1953-02-26,284.3500
1953-02-27,284.2700
1953-03-02,284.7100
1953-03-03,285.9900
1953-03-04,283.7000
1953-03-05,283.8600
1953-03-06,284.8200
1953-03-09,284.9000
1953-03-10,285.2200
1953-03-11,288.0200
1953-03-12,288.0000
1953-03-13,289.0400
1953-03-16,289.5200
1953-03-17,290.6400
1953-03-18,290.3200
1953-03-19,289.9700
1953-03-20,289.6900
1953-03-23,287.3900
1953-03-24,288.8300
1953-03-25,287.9800
1953-03-26,286.6000
1953-03-27,287.3300
1953-03-30,283.0700
1953-03-31,279.8700
1953-04-01,280.0900
1953-04-02,280.0300
1953-04-06,274.1000
1953-04-07,275.1600
1953-04-08,276.8400
1953-04-09,276.2300
1953-04-10,275.5000
1953-04-13,274.7300
1953-04-14,275.8500
1953-04-15,277.3500
1953-04-16,276.7400
1953-04-17,274.4100
1953-04-20,275.9900
1953-04-21,275.4800
1953-04-22,273.5500
1953-04-23,270.7300
1953-04-24,271.2600
1953-04-27,272.7000
1953-04-28,273.9600
1953-04-29,275.3800
1953-04-30,274.7500
1953-05-01,275.6600
1953-05-04,278.3400
1953-05-05,278.2200
1953-05-06,278.1400
1953-05-07,277.4300
1953-05-08,278.2200
1953-05-11,278.7900
1953-05-12,277.0900
1953-05-13,276.8000
1953-05-14,277.9600
1953-05-15,277.9000
1953-05-18,276.9200
1953-05-19,275.9100
1953-05-20,278.0400
1953-05-21,278.5100
1953-05-22,278.1600
1953-05-25,277.4700
1953-05-26,276.3700
1953-05-27,273.9600
1953-05-28,271.4800
1953-05-29,272.2800
1953-06-01,268.4000
1953-06-02,269.8400
1953-06-03,269.6000
1953-06-04,267.6300
1953-06-05,268.3200
1953-06-08,267.9100
1953-06-09,263.3900
1953-06-10,263.3500
1953-06-11,264.9900
1953-06-12,265.7800
1953-06-15,263.8700
1953-06-16,262.8800
1953-06-17,265.7400
1953-06-18,265.8600
1953-06-19,265.8000
1953-06-22,267.2600
1953-06-23,268.4800
1953-06-24,267.7900
1953-06-25,268.9300
1953-06-26,269.0500
1953-06-29,268.2000
1953-06-30,268.2600
1953-07-01,269.3900
1953-07-02,270.2300
1953-07-03,270.5300
1953-07-06,270.8800
1953-07-07,272.1300
1953-07-08,272.1900
1953-07-09,271.3200
1953-07-10,271.0600
1953-07-13,268.5200
1953-07-14,268.0600
1953-07-15,268.7500
1953-07-16,269.4100
1953-07-17,270.9600
1953-07-20,269.7400
1953-07-21,268.9900
1953-07-22,269.3900
1953-07-23,269.9400
1953-07-24,269.7600
1953-07-27,268.4600
1953-07-28,269.1300
1953-07-29,270.4300
1953-07-30,272.8200
1953-07-31,275.3800
1953-08-03,276.1300
1953-08-04,275.6800
1953-08-05,275.0800
1953-08-06,275.7700
1953-08-07,275.5400
1953-08-10,275.3200
1953-08-11,275.3000
1953-08-12,276.4200
1953-08-13,276.7400
1953-08-14,275.7100
1953-08-17,275.0400
1953-08-18,273.2900
1953-08-19,271.5000
1953-08-20,271.7300
1953-08-21,271.9300
1953-08-24,268.7000
1953-08-25,267.4500
1953-08-26,266.5100
1953-08-27,265.6800
1953-08-28,265.7400
1953-08-31,261.2200
1953-09-01,262.5400
1953-09-02,263.9600
1953-09-03,263.6100
1953-09-04,264.3400
1953-09-08,265.4200
1953-09-09,265.4800
1953-09-10,262.8800
1953-09-11,259.7100
1953-09-14,255.4900
1953-09-15,257.6700
1953-09-16,259.0700
1953-09-17,259.8800
1953-09-18,258.7800
1953-09-21,258.0100
1953-09-22,261.2800
1953-09-23,262.3500
1953-09-24,262.4500
1953-09-25,263.3100
1953-09-28,264.7900
1953-09-29,264.7700
1953-09-30,264.0400
1953-10-01,265.6800
1953-10-02,266.7000
1953-10-05,265.4800
1953-10-06,264.2600
1953-10-07,266.5300
1953-10-08,266.7200
1953-10-09,267.0400
1953-10-13,266.0900
1953-10-14,267.5100
1953-10-15,271.2200
1953-10-16,272.8000
1953-10-19,273.3100
1953-10-20,273.9000
1953-10-21,273.7400
1953-10-22,274.8900
1953-10-23,275.3400
1953-10-26,274.4300
1953-10-27,273.3500
1953-10-28,274.1400
1953-10-29,276.3100
1953-10-30,275.8100
1953-11-02,276.7200
1953-11-04,276.8200
1953-11-05,279.0900
1953-11-06,278.8300
